subject,predicate,object,method,value,source,source_version_date,evidence_status,fco_parent_ids
desonide|PLA2G1B|BRD-K21528677-001-04-4,MECHANISM_SIMILAR,hydrocortisone,curated tiny public-mechanism map from CPJUMP1 target_list,glucocorticoid receptor signaling|phospholipase / lipid mediator biology,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,CLINICALLY_ADJACENT,hydrocortisone,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,MECHANISM_SIMILAR,dexamethasone,curated tiny public-mechanism map from CPJUMP1 target_list,glucocorticoid receptor signaling|phospholipase / lipid mediator biology,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,CLINICALLY_ADJACENT,dexamethasone,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,MECHANISM_SIMILAR,budesonide,curated tiny public-mechanism map from CPJUMP1 target_list,glucocorticoid receptor signaling|phospholipase / lipid mediator biology,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,CLINICALLY_ADJACENT,budesonide,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,MECHANISM_SIMILAR,prednisone,curated tiny public-mechanism map from CPJUMP1 target_list,glucocorticoid receptor signaling|phospholipase / lipid mediator biology,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,CLINICALLY_ADJACENT,prednisone,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,PHENOTYPE_SIMILAR,COMT ORF shifted state,CPJUMP1 morphology reference-distance ranking,0.5004939964057833,candidate_ranking.csv,2026-08-13,computed,[]
desonide|PLA2G1B|BRD-K21528677-001-04-4,STRUCTURALLY_SIMILAR,not_computed,not run; no RDKit/fingerprint dependency installed unattended,,PubChem PUG REST name lookup,2026-08-13T15:18:33Z,not_computed,[]
