drug,disease_indication,nct_id,intervention_name,phase,recruitment_status,study_type,target_mechanism_relationship,comparator_relationship,retrieval_timestamp,source,trial_exists,trial_progressed_to_phase,trial_completed,trial_outcome_known,approval_exists,retrieval_status
desonide,Atopic Dermatitis,NCT01779258,"glycerol, paraffin (liquid and white soft); Atopiclair®; Locatop@",PHASE3,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
desonide,Atopic Dermatitis Eczema,NCT03386032,0.05% Desonide,PHASE3,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
desonide,Healthy,NCT03437005,Desonide 0.05%,PHASE1,RECRUITING,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
desonide,"Dermatitis, Atopic; Eczema",NCT02286700,Desonide Cream,PHASE3,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
desonide,Psoriasis,NCT02624544,desonide,PHASE4,WITHDRAWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
desonide,Vasoconstriction,NCT03758365,Desonide 0.05% Cream,PHASE1,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
desonide,Atopic Dermatitis,NCT01467362,desonide 0.1% cream,PHASE3,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
desonide,"Dermatitis, Atopic; Eczema",NCT02732314,0.05% Desonide Cream,PHASE4,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
desonide,Atopic Dermatitis,NCT00690833,topical desonide hydrogel 0.05%,PHASE4,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
desonide,Atopic Dermatitis,NCT07295678,Treatment period with dermocorticoid alone; Treatment period with combination of URGO FilmoCream Eczema and dermocorticoid; Follow-up period after treatment with URGO Filmocream Eczema associated with dermocorticoid,NA,NOT_YET_RECRUITING,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:34Z,https://clinicaltrials.gov/api/v2/studies?query.intr=desonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
hydrocortisone,Cytochrome P450 Oxidoreductase Deficiency; Hypertension; Endothelial Dysfunction; Congenital Adrenal Hyperplasia,NCT06756620,,,COMPLETED,OBSERVATIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,False,True,not_checked,not_checked,ok
hydrocortisone,Congenital Adrenal Hyperplasia,NCT04536662,Hydrocortisone,PHASE4,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
hydrocortisone,Asthma; Corticosteroid,NCT05750797,Oral corticosteroids,,UNKNOWN,OBSERVATIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,False,False,not_checked,not_checked,ok
hydrocortisone,Atopic Dermatitis,NCT04615962,Hydrocortisone Acetate 1% Cream,PHASE1,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
hydrocortisone,Dental Anxiety; Symptomatic Irreversible Pulpitis,NCT07124273,Standardized Mandibular Anesthesia Protocol,NA,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
hydrocortisone,Septic Shock; Shock; Sepsis; Systemic Inflammatory Response Syndrome,NCT06122987,Angiotensin II and hydrocortisone sodium succinate,PHASE4,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
hydrocortisone,Septic Shock,NCT03821714,Glucocorticoid combination therapy; Glucocorticoid,NA,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
