endpoint,pipeline_a,pipeline_b,n_paired,accuracy_a,accuracy_b,risk_difference_b_minus_a,discordant_a_correct_b_wrong,discordant_a_wrong_b_correct,mcnemar_raw_p,effect_threshold_met,holm_adjusted_p,statistical_terminal
correct_semantic_disposition,B0_CRYPTO_CUSTODY_ONLY,B1_STRUCTURAL_LATTICE,13,0.5384615384615384,0.3076923076923077,-0.23076923076923073,6,3,0.5078125,True,1.0,NOT_SIGNIFICANT
correct_semantic_disposition,B0_CRYPTO_CUSTODY_ONLY,B2_VERIFY_ONLY_NO_ABSTAIN,13,0.5384615384615384,0.0,-0.5384615384615384,7,0,0.015625,True,0.515625,NOT_SIGNIFICANT
correct_semantic_disposition,B0_CRYPTO_CUSTODY_ONLY,B3_FULL_VERIFY_OR_ABSTAIN,13,0.5384615384615384,1.0,0.46153846153846156,0,6,0.03125,True,0.96875,NOT_SIGNIFICANT
correct_semantic_disposition,B0_CRYPTO_CUSTODY_ONLY,B4_ANTIGENCE_TRAINED_AIS,13,0.5384615384615384,0.38461538461538464,-0.1538461538461538,5,3,0.7265625,True,1.0,NOT_SIGNIFICANT
correct_semantic_disposition,B1_STRUCTURAL_LATTICE,B2_VERIFY_ONLY_NO_ABSTAIN,13,0.3076923076923077,0.0,-0.3076923076923077,4,0,0.125,True,1.0,NOT_SIGNIFICANT
correct_semantic_disposition,B1_STRUCTURAL_LATTICE,B3_FULL_VERIFY_OR_ABSTAIN,13,0.3076923076923077,1.0,0.6923076923076923,0,9,0.00390625,True,0.13671875,NOT_SIGNIFICANT
correct_semantic_disposition,B1_STRUCTURAL_LATTICE,B4_ANTIGENCE_TRAINED_AIS,13,0.3076923076923077,0.38461538461538464,0.07692307692307693,4,5,1.0,False,1.0,NOT_SIGNIFICANT
correct_semantic_disposition,B2_VERIFY_ONLY_NO_ABSTAIN,B3_FULL_VERIFY_OR_ABSTAIN,13,0.0,1.0,1.0,0,13,0.000244140625,True,0.00927734375,SIGNIFICANT
correct_semantic_disposition,B2_VERIFY_ONLY_NO_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,0.0,0.38461538461538464,0.38461538461538464,0,5,0.0625,True,1.0,NOT_SIGNIFICANT
correct_semantic_disposition,B3_FULL_VERIFY_OR_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,1.0,0.38461538461538464,-0.6153846153846154,8,0,0.0078125,True,0.265625,NOT_SIGNIFICANT
correct_downstream_localization,B0_CRYPTO_CUSTODY_ONLY,B1_STRUCTURAL_LATTICE,13,0.0,0.07692307692307693,0.07692307692307693,0,1,1.0,False,1.0,NOT_SIGNIFICANT
correct_downstream_localization,B0_CRYPTO_CUSTODY_ONLY,B2_VERIFY_ONLY_NO_ABSTAIN,13,0.0,0.0,0.0,0,0,1.0,False,1.0,NOT_SIGNIFICANT
correct_downstream_localization,B0_CRYPTO_CUSTODY_ONLY,B3_FULL_VERIFY_OR_ABSTAIN,13,0.0,1.0,1.0,0,13,0.000244140625,True,0.009521484375,SIGNIFICANT
correct_downstream_localization,B0_CRYPTO_CUSTODY_ONLY,B4_ANTIGENCE_TRAINED_AIS,13,0.0,0.23076923076923078,0.23076923076923078,0,3,0.25,True,1.0,NOT_SIGNIFICANT
correct_downstream_localization,B1_STRUCTURAL_LATTICE,B2_VERIFY_ONLY_NO_ABSTAIN,13,0.07692307692307693,0.0,-0.07692307692307693,1,0,1.0,False,1.0,NOT_SIGNIFICANT
correct_downstream_localization,B1_STRUCTURAL_LATTICE,B3_FULL_VERIFY_OR_ABSTAIN,13,0.07692307692307693,1.0,0.9230769230769231,0,12,0.00048828125,True,0.01806640625,SIGNIFICANT
correct_downstream_localization,B1_STRUCTURAL_LATTICE,B4_ANTIGENCE_TRAINED_AIS,13,0.07692307692307693,0.23076923076923078,0.15384615384615385,1,3,0.625,True,1.0,NOT_SIGNIFICANT
correct_downstream_localization,B2_VERIFY_ONLY_NO_ABSTAIN,B3_FULL_VERIFY_OR_ABSTAIN,13,0.0,1.0,1.0,0,13,0.000244140625,True,0.009765625,SIGNIFICANT
